time,altitude_ft,lat_rad,lon_rad,u_fps,v_north_fps,v_east_fps,beta_deg,rudder_norm,airspeed_setpoint,vc_kts,heading_true_deg
74.03000000000097,120.31450947073883,0.516425983642138,-1.6599010391254057,91.44994538554782,-25.556806084442194,-100.02402546171771,0.7739424062043171,0.0,0.0,61.23158180155099,256.7520169171979
74.04000000000097,120.2497787704389,0.5164259734246887,-1.6599010848918447,91.43179488518653,-25.538622803288536,-100.01224518777542,0.7914217638705582,0.0,0.0,61.22254443452148,256.7573035768135
74.05000000000098,120.18499331145787,0.516425963214527,-1.6599011306528977,91.41363857954846,-25.520359006014335,-100.00047870485389,0.809034584373009,0.0,0.0,61.213507191714,256.76256187298384
74.06000000000098,120.12015264031777,0.516425953011686,-1.659901176408569,91.39548002957333,-25.502015343719208,-99.98872927168154,0.826777890619749,0.0,0.0,61.204471997918844,256.7677927883145
74.07000000000099,120.0552563198512,0.5164259428161975,-1.6599012221588683,91.37731617298166,-25.483591089754153,-99.97699423507265,0.8446492157759243,0.0,0.0,61.195437317904286,256.77299729750604
74.080000000001,119.99030390636709,0.5164259326280934,-1.6599012679038005,91.35915057149339,-25.465086914172083,-99.96527684775447,0.8626456230398201,0.0,0.0,61.18640507596698,256.7781763830018
74.090000000001,119.92529496596022,0.5164259224474059,-1.6599013136433758,91.34098016627969,-25.446502110526872,-99.9535744527552,0.8807646863196005,0.0,0.0,61.1773737380272,256.7833310194172
74.100000000001,119.86022905167725,0.5164259122741672,-1.659901359377599,91.32280851966239,-25.42783736694498,-99.9418902966182,0.899003508665129,0.0,0.0,61.16834522766121,256.7884621887163
74.11000000000101,119.79510574918739,0.5164259021084088,-1.6599014051064804,91.3046325760258,-25.409091996291167,-99.93022171835156,0.9173597044421494,0.0,0.0,61.159318011676056,256.793570865095
74.12000000000101,119.72992458543725,0.5164258919501638,-1.6599014508300254,91.28645589814325,-25.390266703914158,-99.91857195816277,0.9358304161132058,0.0,0.0,61.150294012684526,256.7986580297273
74.13000000000102,119.66468515914592,0.5164258817994636,-1.6599014965482446,91.26827543340116,-25.37136082112643,-99.90693835083556,0.9544132982148831,0.0,0.0,61.14127169813457,256.80372465606
74.14000000000102,119.59938700052236,0.5164258716563405,-1.6599015422611434,91.25009474489836,-25.352375069675016,-99.89532413011706,0.9731055321833549,0.0,0.0,61.13225298946369,256.80877172417394
74.15000000000103,119.53402969523525,0.5164258615208263,-1.6599015879687327,91.23191078283615,-25.33330879848478,-99.8837266263892,0.991904812438256,0.0,0.0,61.12323635453038,256.8138002064445
74.16000000000103,119.46861279306854,0.5164258513929539,-1.6599016336710184,91.21372711053513,-25.314162744903644,-99.87214906684034,1.010808358950445,0.0,0.0,61.11422371339249,256.8188110815611
74.17000000000104,119.40313587316584,0.5164258412727541,-1.6599016793680115,91.19554068084564,-25.2949362746606,-99.8605887772984,1.029813905733969,0.0,0.0,61.105213534116075,256.82380532051195
74.18000000000104,119.33759847878538,0.5164258311602599,-1.6599017250597181,91.17735505722567,-25.27563013993278,-99.84904897831748,1.0489187108557878,0.0,0.0,61.096207735226216,256.82878390030356
74.19000000000105,119.2720001923336,0.5164258210555027,-1.6599017707461496,91.159167195028,-25.256243722471154,-99.8375269910421,1.0681205476350557,0.0,0.0,61.08720478478133,256.83374779022733
74.20000000000105,119.20634056359344,0.5164258109585153,-1.6599018164273123,91.14098065778217,-25.23677778853525,-99.82602602933969,1.0874167117969051,0.0,0.0,61.07820659960826,256.8386979653219
74.21000000000106,119.14061918802085,0.5164258008693281,-1.6599018621032176,91.12279240321291,-25.21723173514126,-99.81454340956194,1.106805015675764,0.0,0.0,61.069211647566085,256.84363539287807
74.22000000000106,119.07483559256137,0.5164257907879749,-1.6599019077738724,91.10460599487133,-25.197606341908287,-99.80308233885728,1.1262827922178429,0.0,0.0,61.06022184368517,256.84856104568763
74.23000000000107,119.00898937267073,0.5164257807144859,-1.659901953439288,91.08641839273996,-25.177901020385843,-99.7916401286958,1.145847892482695,0.0,0.0,61.05123565543323,256.8534758887437
74.24000000000107,118.94308007813126,0.516425770648894,-1.6599019990994717,91.0682331603551,-25.15811656285303,-99.78021997949257,1.1654976862015363,0.0,0.0,61.04225499589392,256.8583808923182
74.25000000000108,118.87710729787425,0.51642576059123,-1.6599020447544353,91.05004725985599,-25.13825239468452,-99.76881919776483,1.185230062868808,0.0,0.0,61.03327833202686,256.8632770188153
74.26000000000109,118.81107057515653,0.5164257505415265,-1.659902090404186,91.03186425473905,-25.118309320142593,-99.75744097719584,1.2050424285656238,0.0,0.0,61.024307574838325,256.86816523572065
74.27000000000109,118.74496949890887,0.5164257404998145,-1.6599021360487356,91.01368110921264,-25.09828677774224,-99.74608261929659,1.22493271093127,0.0,0.0,61.015341190642985,256.873046502564
74.2800000000011,118.67880361565085,0.5164257304661263,-1.659902181688092,90.99550138671862,-25.07818558307375,-99.73474731103525,1.2448983519629877,0.0,0.0,61.00638108827456,256.877921783784
74.2900000000011,118.61257253715023,0.5164257204404928,-1.659902227322267,90.9773220534571,-25.058005187130256,-99.72343234887803,1.2649373171549803,0.0,0.0,60.99742573324582,256.88279203575735
74.3000000000011,118.5462757805641,0.516425710422946,-1.659902272951269,90.95914667281012,-25.037746416196217,-99.7121409131088,1.2850470839883181,0.0,0.0,60.98847703214634,256.8876582196205
74.31000000000111,118.47991295439746,0.5164257004135171,-1.6599023185751098,90.94097221290068,-25.01740873310252,-99.70087029512362,1.3052256555223891,0.0,0.0,60.97953344958159,256.892521288324
74.32000000000112,118.41348362148152,0.5164256904122376,-1.6599023641937976,90.922802237054,-24.996992974214585,-99.6896236685661,1.325470544291487,0.0,0.0,60.9705968898093,256.89738219945355
74.33000000000112,118.34698735769697,0.5164256804191385,-1.659902409807345,90.90463371525586,-24.976498613581896,-99.67839831975006,1.3457797906309847,0.0,0.0,60.96166581641007,256.9022419022665
74.34000000000113,118.28042371282513,0.5164256704342519,-1.6599024554157602,90.8864702107836,-24.955926497057554,-99.6671974157337,1.3661509416994655,0.0,0.0,60.9527421312418,256.90710135055446
74.35000000000113,118.21379229537062,0.5164256604576078,-1.6599025010190562,90.86830869543157,-24.93527610931136,-99.65601823774708,1.3865820748194622,0.0,0.0,60.943824296774295,256.91196148962064
74.36000000000114,118.14709264532705,0.5164256504892385,-1.6599025466172412,90.85015273244477,-24.91454830511012,-99.6448639463296,1.4070707713468718,0.0,0.0,60.93491421239346,256.9168232692254
74.37000000000114,118.08032436467406,0.5164256405291744,-1.6599025922103283,90.83199929537928,-24.89374257916566,-99.633731817638,1.427615145303426,0.0,0.0,60.92601033935643,256.92168763046226
74.38000000000115,118.01348700971755,0.5164256305774467,-1.6599026377983261,90.81385194746488,-24.872859794603382,-99.62262500576566,1.4482128118170563,0.0,0.0,60.917114574544456,256.92655551882916
